Summary,Processed Summaries,Sentiment Scores,Compound Score
"LOS ANGELES, April 29, 2022 /CNW/ -- MatchCraft, a global leader in digital advertising technology, was again recognized by Microsoft Advertising, this time as the Global Rising Star of the Year. MatchCraft took home the top prize for its global focus on integrating features that drive both scalability, feature adoption, and growth for its reseller and agency partners.","['los', 'angeles', 'april', 'matchcraft', 'global', 'leader', 'digital', 'advertising', 'technology', 'recognized', 'microsoft', 'advertising', 'time', 'global', 'rising', 'star', 'year', 'matchcraft', 'took', 'home', 'top', 'prize', 'global', 'focus', 'integrating', 'feature', 'drive', 'scalability', 'feature', 'adoption', 'growth', 'reseller', 'agency', 'partner']","{'neg': 0.0, 'neu': 0.801, 'pos': 0.199, 'compound': 0.7717}",0.7717
MatchCraft Again Recognized as Global Rising Star of the Year at Microsoft Advertising Partner Awards USA - English - USA - English PR Newswire,"['matchcraft', 'recognized', 'global', 'rising', 'star', 'year', 'microsoft', 'advertising', 'partner', 'award', 'usa', 'english', 'usa', 'english', 'newswire']","{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.5423}",0.5423
"LOS ANGELES, April 29, 2022 /PRNewswire/ -- MatchCraft, a global leader in digital advertising technology, was again recognized by Microsoft Advertising, this time as the Global Rising Star of the Year. MatchCraft took home the top prize for its global focus on integrating features that drive both scalability, feature adoption, and growth for its reseller and agency partners.","['los', 'angeles', 'april', 'matchcraft', 'global', 'leader', 'digital', 'advertising', 'technology', 'recognized', 'microsoft', 'advertising', 'time', 'global', 'rising', 'star', 'year', 'matchcraft', 'took', 'home', 'top', 'prize', 'global', 'focus', 'integrating', 'feature', 'drive', 'scalability', 'feature', 'adoption', 'growth', 'reseller', 'agency', 'partner']","{'neg': 0.0, 'neu': 0.801, 'pos': 0.199, 'compound': 0.7717}",0.7717
Warren Buffett: Berkshire Hathaway has 9.5% stake in Activision Axios,"['warren', 'buffett', 'berkshire', 'hathaway', 'stake', 'activision', 'axios']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
The cloud industry is on track to become a multi-trillion-dollar opportunity annually within the next decade.,"['cloud', 'industry', 'track', 'become', 'opportunity', 'annually', 'within', 'next', 'decade']","{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.4215}",0.4215
Making a bigger-picture portfolio plan is more important than just picking a few seemingly solid stocks.,"['making', 'portfolio', 'plan', 'important', 'picking', 'seemingly', 'solid', 'stock']","{'neg': 0.0, 'neu': 0.638, 'pos': 0.362, 'compound': 0.34}",0.34
Berkshire Hathaway increased stake of Activision is nearly 10%.,"['berkshire', 'hathaway', 'increased', 'stake', 'activision', 'nearly']","{'neg': 0.0, 'neu': 0.704, 'pos': 0.296, 'compound': 0.2732}",0.2732
"On another difficult Friday afternoon for the stock market, the broad U.S. indexes ended with significant declines --- with tech stocks standing out.","['another', 'difficult', 'friday', 'afternoon', 'stock', 'market', 'broad', 'index', 'ended', 'significant', 'decline', 'tech', 'stock', 'standing']","{'neg': 0.153, 'neu': 0.736, 'pos': 0.11, 'compound': -0.1779}",-0.1779
All three companies are set to beat the market over the next 10 years.,"['three', 'company', 'set', 'beat', 'market', 'next', 'year']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
"Vertex Energy Inc  ( NASDAQ: VTNR )  has an average trading volume of over 2 million, so it is no slouch of a stock in terms of interest. Vertex engages in recycling industrial waste streams and off-specification commercial chemical products. The firm focuses on recycling used motor oil and other p","['vertex', 'energy', 'inc', 'nasdaq', 'vtnr', 'average', 'trading', 'volume', 'million', 'slouch', 'stock', 'term', 'interest', 'vertex', 'engages', 'recycling', 'industrial', 'waste', 'stream', 'commercial', 'chemical', 'product', 'firm', 'focus', 'recycling', 'used', 'motor', 'oil']","{'neg': 0.083, 'neu': 0.708, 'pos': 0.209, 'compound': 0.5106}",0.5106
