Summary,Processed Summaries,Sentiment Scores,Compound Score
MSFT: 1 Stock That Continues to Outperform the ...,"['msft', 'stock', 'continues', 'outperform']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
"Software and cloud services giant Microsoft Corporation ( MSFT ) is currently trading 24.8% below its 52-week high of $349.67, which it hit on November 22, 2022. The stock has declined 21.8% in price year-to-date and 13.4% over the past year to close the last trading session at $262.97.","['software', 'cloud', 'service', 'giant', 'microsoft', 'corporation', 'msft', 'currently', 'trading', 'high', 'hit', 'november', 'stock', 'declined', 'price', 'past', 'year', 'close', 'last', 'trading', 'session']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
Integral to IGM's ongoing digital transformation strategy to further modernize operations and bring new capabilities to their employee and client experience,"['integral', 'igm', 'ongoing', 'digital', 'transformation', 'strategy', 'modernize', 'operation', 'bring', 'new', 'capability', 'employee', 'client', 'experience']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
Most brokerages offer investors the opportunity to invest in fractional shares of high-priced companies like Microsoft.,"['brokerage', 'offer', 'investor', 'opportunity', 'invest', 'fractional', 'share', 'company', 'like', 'microsoft']","{'neg': 0.0, 'neu': 0.483, 'pos': 0.517, 'compound': 0.7579}",0.7579
"In the latest trading session, Microsoft (MSFT) closed at $261.47, marking a -0.57% move from the previous day.","['latest', 'trading', 'session', 'microsoft', 'msft', 'closed', 'marking', 'move', 'previous', 'day']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
"Technology giant Microsoft announced Wednesday it will create 36,000 jobs in Qatar to boost the Gulf state's efforts to move away from reliance on its oil and gas industry. Created with support from the Qatar government, the new cloud data centre will be one of the US firm's biggest international ...","['technology', 'giant', 'microsoft', 'announced', 'wednesday', 'create', 'job', 'qatar', 'boost', 'gulf', 'state', 'effort', 'move', 'away', 'reliance', 'oil', 'gas', 'industry', 'created', 'support', 'qatar', 'government', 'new', 'cloud', 'data', 'centre', 'one', 'firm', 'biggest', 'international']","{'neg': 0.0, 'neu': 0.732, 'pos': 0.268, 'compound': 0.8176}",0.8176
"MONTRÉAL, Aug. 31, 2022 /CNW Telbec/ - Alithya Group inc. ( TSX: ALYA ) ( NASDAQ: ALYA ) ( ""Alithya"" ) is pleased to announce that it has signed a CAN$2 million contract with a Canadian university to accelerate the digital transformation of its administrative processes and elevate its students' ...","['montréal', 'alithya', 'group', 'tsx', 'alya', 'nasdaq', 'alya', 'alithya', 'pleased', 'announce', 'signed', 'million', 'contract', 'canadian', 'university', 'accelerate', 'digital', 'transformation', 'administrative', 'process', 'elevate', 'student']","{'neg': 0.0, 'neu': 0.879, 'pos': 0.121, 'compound': 0.4404}",0.4404
"U.S. stocks closed lower on Tuesday, with the Nasdaq 100 dropping more than 1% following a decline in Apple Inc AAPL and Microsoft Corporation MSFT shares. Let's have a look at the major economic events scheduled for today.","['stock', 'closed', 'lower', 'tuesday', 'nasdaq', 'dropping', 'following', 'decline', 'apple', 'inc', 'aapl', 'microsoft', 'corporation', 'msft', 'share', 'let', 'look', 'major', 'economic', 'event', 'scheduled', 'today']","{'neg': 0.09, 'neu': 0.82, 'pos': 0.09, 'compound': 0.0}",0.0
"U.S. stocks recorded losses on Tuesday, settling lower for a third session in a row. The S&P 500 index has dropped over 5% since Fed Chair Jerome Powell said the central bank will remain aggressive in its monetary policy stance to fight inflation.","['stock', 'recorded', 'loss', 'tuesday', 'settling', 'lower', 'third', 'session', 'row', 'index', 'dropped', 'since', 'fed', 'chair', 'jerome', 'powell', 'said', 'central', 'bank', 'remain', 'aggressive', 'monetary', 'policy', 'stance', 'fight', 'inflation']","{'neg': 0.283, 'neu': 0.717, 'pos': 0.0, 'compound': -0.7717}",-0.7717
"General Motors, Ford , Honda, Toyota and Stellantis are part of The Zacks Analyst Blog.","['general', 'motor', 'ford', 'honda', 'toyota', 'stellantis', 'part', 'zacks', 'analyst', 'blog']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
"The CNN Money Fear and Greed index remained in the ""neutral"" zone, but moved lower following another drop in the US stocks on Tuesday. Each of the 11 S&P 500 sectors closed in negative zone, with the energy sector dropping around 3.4%, as crude oil prices dipped more than 5% on Tuesday.","['cnn', 'money', 'fear', 'greed', 'index', 'remained', 'neutral', 'zone', 'moved', 'lower', 'following', 'another', 'drop', 'stock', 'tuesday', 'sector', 'closed', 'negative', 'zone', 'energy', 'sector', 'dropping', 'around', 'crude', 'oil', 'price', 'dipped', 'tuesday']","{'neg': 0.432, 'neu': 0.516, 'pos': 0.052, 'compound': -0.9382}",-0.9382
Some ad buyers said they were told by Netflix that an ad-supported version would be launched on Nov. 1.,"['buyer', 'said', 'told', 'netflix', 'version', 'would', 'launched']","{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.128}",0.128
"4 Trending Tech Stocks To Watch In The Stock Market Now Tech stocks have experienced a rough year in the stock market so far. This is mainly due to macroeconomic events, such as rising inflation, and increasing interest rates.","['trending', 'tech', 'stock', 'watch', 'stock', 'market', 'tech', 'stock', 'experienced', 'rough', 'year', 'stock', 'market', 'far', 'mainly', 'due', 'macroeconomic', 'event', 'rising', 'inflation', 'increasing', 'interest', 'rate']","{'neg': 0.0, 'neu': 0.88, 'pos': 0.12, 'compound': 0.4588}",0.4588
"The U.S. dollar is the strongest it's been in decades, and it's showing no signs of cooling off. Given the continuing focus by financial markets on the aggressive monetary policy tightening by the Federal Reserve, the dollar's strength should continue against most foreign currencies at least ...","['dollar', 'strongest', 'decade', 'showing', 'sign', 'cooling', 'given', 'continuing', 'focus', 'financial', 'market', 'aggressive', 'monetary', 'policy', 'tightening', 'federal', 'reserve', 'dollar', 'strength', 'continue', 'foreign', 'currency', 'least']","{'neg': 0.058, 'neu': 0.722, 'pos': 0.22, 'compound': 0.6705}",0.6705
The tech stock may very well deserve a low earnings multiple.,"['tech', 'stock', 'may', 'well', 'deserve', 'low', 'earnings', 'multiple']","{'neg': 0.206, 'neu': 0.588, 'pos': 0.206, 'compound': 0.0}",0.0
"It has been a rough year for the stock market but even more so for mega-cap tech stocks. From the start of 2022 through early August, the four largest technology companies lost an average of 14% of their value, including dividends, compared with a decline of 12% for the benchmark S&P 500 Index. ( ...","['rough', 'year', 'stock', 'market', 'even', 'tech', 'stock', 'start', 'early', 'august', 'four', 'largest', 'technology', 'company', 'lost', 'average', 'value', 'including', 'dividend', 'compared', 'decline', 'benchmark', 'index']","{'neg': 0.089, 'neu': 0.817, 'pos': 0.093, 'compound': 0.0258}",0.0258
"The best way to understand the ways that Big Tech companies do and don't compete with one another is to use the old Watergate adage: Follow the money. Why it matters: How Apple, Google, Facebook, Amazon and Microsoft make their revenue today shapes the battles they will fight tomorrow.","['best', 'way', 'understand', 'way', 'big', 'tech', 'company', 'compete', 'one', 'another', 'use', 'old', 'watergate', 'adage', 'follow', 'money', 'matter', 'apple', 'google', 'facebook', 'amazon', 'microsoft', 'make', 'revenue', 'today', 'shape', 'battle', 'fight', 'tomorrow']","{'neg': 0.144, 'neu': 0.663, 'pos': 0.193, 'compound': 0.2023}",0.2023
"Med Data Research, Inc. is a privately-owned consulting services business that serves the pharmaceutical industry. MDR was founded in 1994 in Charlotte, NC. Our experience in assisting pharmaceutical manufacturers to avoid overpaying contract rebates has enabled us to build long-standing ...","['med', 'data', 'research', 'consulting', 'service', 'business', 'serf', 'pharmaceutical', 'industry', 'mdr', 'founded', 'charlotte', 'experience', 'assisting', 'pharmaceutical', 'manufacturer', 'avoid', 'overpaying', 'contract', 'rebate', 'enabled', 'build']","{'neg': 0.095, 'neu': 0.905, 'pos': 0.0, 'compound': -0.296}",-0.296
