Summary,Processed Summaries,Sentiment Scores,Compound Score
Flintech Achieves the 2023-2024 Microsoft Business Applications Inner Circle Award PR ...,"['flintech', 'achieves', 'microsoft', 'business', 'application', 'inner', 'circle', 'award']","{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.5423}",0.5423
Microsoft Inc MSFT looks to modify its approach to selling its Teams videoconferencing software to European business consumers. This move comes after the European Union's antitrust probe flagged potential concerns over the tech behemoth's sales practices in the region.,"['microsoft', 'inc', 'msft', 'look', 'modify', 'approach', 'selling', 'team', 'videoconferencing', 'software', 'european', 'business', 'consumer', 'move', 'come', 'european', 'union', 'antitrust', 'probe', 'flagged', 'potential', 'concern', 'tech', 'behemoth', 'sale', 'practice', 'region']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
EY releases more than 20 new Assurance technology capabilities supported by Microsoft alliance in first year of US$1b ... PR ...,"['release', 'new', 'assurance', 'technology', 'capability', 'supported', 'microsoft', 'alliance', 'first', 'year']","{'neg': 0.0, 'neu': 0.63, 'pos': 0.37, 'compound': 0.5719}",0.5719
EY releases more than 20 new Assurance technology capabilities supported by Microsoft alliance in first year of US$1b ... Canada ...,"['release', 'new', 'assurance', 'technology', 'capability', 'supported', 'microsoft', 'alliance', 'first', 'year', 'canada']","{'neg': 0.0, 'neu': 0.657, 'pos': 0.343, 'compound': 0.5719}",0.5719
"Microsoft to unbundle Teams from Office 365, Microsoft 365 amid EU probe UPI News ...","['microsoft', 'unbundle', 'team', 'office', 'microsoft', 'amid', 'probe', 'upi', 'news']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
Lumen (LUMN) leverages Microsoft 365 Copilot to improve employee efficiency and enrich customer communications.,"['lumen', 'lumn', 'leverage', 'microsoft', 'copilot', 'improve', 'employee', 'efficiency', 'enrich', 'customer', 'communication']","{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.6597}",0.6597
"Though both companies are great, one stock easily beats the other as a dividend-paying investment.","['though', 'company', 'great', 'one', 'stock', 'easily', 'beat', 'investment']","{'neg': 0.0, 'neu': 0.48, 'pos': 0.52, 'compound': 0.7579}",0.7579
"Artificial Intelligence ( AI ) is a hot topic these days and it's changing a lot of industries, from healthcare to self-driving cars. Basically, AI is a technology that allows machines to learn and make decisions, kind of like how humans do.","['artificial', 'intelligence', 'hot', 'topic', 'day', 'changing', 'lot', 'industry', 'healthcare', 'car', 'basically', 'technology', 'allows', 'machine', 'learn', 'make', 'decision', 'kind', 'like', 'human']","{'neg': 0.0, 'neu': 0.654, 'pos': 0.346, 'compound': 0.8402}",0.8402
Microsoft will stop packaging its Teams videoconferencing app with its Office software in Europe in an effort to head off antitrust penalties by regulators. The tech giant also said Thursday that it would take steps to make it easier for competing products to work alongside its software.,"['microsoft', 'stop', 'packaging', 'team', 'videoconferencing', 'app', 'office', 'software', 'europe', 'effort', 'head', 'antitrust', 'penalty', 'regulator', 'tech', 'giant', 'also', 'said', 'thursday', 'would', 'take', 'step', 'make', 'easier', 'competing', 'product', 'work', 'alongside', 'software']","{'neg': 0.153, 'neu': 0.765, 'pos': 0.082, 'compound': -0.34}",-0.34
"Sony Group Corp. SONY announced a global price increase for its PlayStation Plus 12-month subscriptions across all tiers. Starting from Sept. 6, the prices for PlayStation Plus Essential, PlayStation Plus Extra and PlayStation Plus Premium will be raised. The new prices will be as follows:","['sony', 'group', 'sony', 'announced', 'global', 'price', 'increase', 'playstation', 'plus', 'subscription', 'across', 'tier', 'starting', 'price', 'playstation', 'plus', 'essential', 'playstation', 'plus', 'extra', 'playstation', 'plus', 'premium', 'raised', 'new', 'price', 'follows']","{'neg': 0.0, 'neu': 0.919, 'pos': 0.081, 'compound': 0.3182}",0.3182
"Baidu, Inc BIDU, alongside TikTok parent ByteDance Ltd, showcased their AI chatbots to the masses this Thursday, following a nod from Beijing regulators. These AI-centric launches are considered a countermove to Microsoft Corp's MSFT acclaimed OpenAI, the Financial Times reports.","['baidu', 'inc', 'bidu', 'alongside', 'tiktok', 'parent', 'bytedance', 'ltd', 'showcased', 'chatbots', 'mass', 'thursday', 'following', 'nod', 'beijing', 'regulator', 'launch', 'considered', 'countermove', 'microsoft', 'corp', 'msft', 'acclaimed', 'openai', 'financial', 'time', 'report']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
"The utilization of Artificial Intelligence ( AI ) is consistently surging across a wide array of industries and sectors. As businesses become increasingly aware of AI's substantial capacity to foster innovation and enhance efficiency, the demand for AI-based software solutions is bound to ...","['utilization', 'artificial', 'intelligence', 'consistently', 'surging', 'across', 'wide', 'array', 'industry', 'sector', 'business', 'become', 'increasingly', 'aware', 'substantial', 'capacity', 'foster', 'innovation', 'enhance', 'efficiency', 'demand', 'software', 'solution', 'bound']","{'neg': 0.047, 'neu': 0.566, 'pos': 0.387, 'compound': 0.8689}",0.8689
Morgan Stanley Top Cloud Exec Leaves for Microsoft - Business Insider ...,"['morgan', 'stanley', 'top', 'cloud', 'exec', 'leaf', 'microsoft', 'business', 'insider']","{'neg': 0.0, 'neu': 0.816, 'pos': 0.184, 'compound': 0.2023}",0.2023
Aeroflex Industries shares jump 51% in debut trade on issue price of Rs 108 Garena's Free Fire to return to India from Sep 5 as govt revokes ban Microsoft to stop packaging Teams and Office software in Europe Eicher Motors cracks 6% as Hero Moto-Harley Davidson tie up for X440 bike,"['aeroflex', 'industry', 'share', 'jump', 'debut', 'trade', 'issue', 'price', 'garena', 'free', 'fire', 'return', 'india', 'sep', 'govt', 'revoke', 'ban', 'microsoft', 'stop', 'packaging', 'team', 'office', 'software', 'europe', 'eicher', 'motor', 'crack', 'hero', 'davidson', 'tie', 'bike']","{'neg': 0.194, 'neu': 0.591, 'pos': 0.215, 'compound': 0.2263}",0.2263
Goldman Sachs Group Inc's GS partnerships with financial technology companies are reportedly under the scanner of the U.S. banking regulators owing to issues regarding compliance and risk. Concerns highlighted by the Fed included poor due diligence and monitoring processes when accepting ...,"['goldman', 'sachs', 'group', 'inc', 'partnership', 'financial', 'technology', 'company', 'reportedly', 'scanner', 'banking', 'regulator', 'owing', 'issue', 'regarding', 'compliance', 'risk', 'concern', 'highlighted', 'fed', 'included', 'poor', 'due', 'diligence', 'monitoring', 'process', 'accepting']","{'neg': 0.164, 'neu': 0.755, 'pos': 0.082, 'compound': -0.3818}",-0.3818
"Magnite (MGNI), along with SpringServe, now provides FAST ad management support for Virgin Media TV services.","['magnite', 'mgni', 'along', 'springserve', 'provides', 'fast', 'management', 'support', 'virgin', 'medium', 'service']","{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.4019}",0.4019
