Summary,Processed Summaries,Sentiment Scores,Compound Score
"With a market capitalization of over $2 trillion, Microsoft Corporation MSFT is one of the largest companies in the world. The company has many units of business, but one of its most well-known products almost didn't exist, thanks to co-founder Bill Gates not believing in the story.","['market', 'capitalization', 'trillion', 'microsoft', 'corporation', 'msft', 'one', 'largest', 'company', 'world', 'company', 'many', 'unit', 'business', 'one', 'product', 'almost', 'exist', 'thanks', 'bill', 'gate', 'believing', 'story']","{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.3862}",0.3862
Melinda Gates is well-known as the husband of Microsoft Corporation MSFT co-founder Bill Gates. The couple announced this week they will be divorcing after 27 years of marriage.,"['melinda', 'gate', 'husband', 'microsoft', 'corporation', 'msft', 'bill', 'gate', 'couple', 'announced', 'week', 'divorcing', 'year', 'marriage']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
"With the release of a new moderation update, players are ready to revolt.","['release', 'new', 'moderation', 'update', 'player', 'ready', 'revolt']","{'neg': 0.0, 'neu': 0.706, 'pos': 0.294, 'compound': 0.3612}",0.3612
"Even though Microsoft missed estimates, its earnings report could point to better times ahead for the stock and the tech sector.","['even', 'though', 'microsoft', 'missed', 'estimate', 'earnings', 'report', 'could', 'point', 'better', 'time', 'ahead', 'stock', 'tech', 'sector']","{'neg': 0.122, 'neu': 0.718, 'pos': 0.16, 'compound': 0.1779}",0.1779
"""Would you like any mild, medium or hot salsa? Any corn, sour cream or cheese?"" If the above sounds familiar, and I'll bet it does, you probably frequent Chipotle Mexican Grill, Inc. CMG. And it's no secret investors in Chipotle have been adding guacamole to their returns over the past 5 years.","['would', 'like', 'mild', 'medium', 'hot', 'salsa', 'corn', 'sour', 'cream', 'cheese', 'sound', 'familiar', 'bet', 'probably', 'frequent', 'chipotle', 'mexican', 'grill', 'cmg', 'secret', 'investor', 'chipotle', 'adding', 'guacamole', 'return', 'past', 'year']","{'neg': 0.0, 'neu': 0.912, 'pos': 0.088, 'compound': 0.3612}",0.3612
Investors who placed their hard-earned cash into major US indices have enjoyed respectable returns over the past 10 years.,"['investor', 'placed', 'cash', 'major', 'index', 'enjoyed', 'respectable', 'return', 'past', 'year']","{'neg': 0.0, 'neu': 0.563, 'pos': 0.437, 'compound': 0.7351}",0.7351
"That Microsoft Corporation MSFT co-founder Bill Gates has shared a longstanding friendship with his fellow billionaire Warren Buffett is no secret. What Happened: Gates on Saturday shared a picture of himself along with the Berkshire Hathaway, Inc. ( NYSE: BRK-A ) ( NYSE: BRK-B ) CEO holding ...","['microsoft', 'corporation', 'msft', 'bill', 'gate', 'shared', 'longstanding', 'friendship', 'fellow', 'billionaire', 'warren', 'buffett', 'secret', 'happened', 'gate', 'saturday', 'shared', 'picture', 'along', 'berkshire', 'hathaway', 'nyse', 'nyse', 'ceo', 'holding']","{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.7717}",0.7717
"Facebook parent Meta Platforms, Inc META again threatened to pull its popular Facebook and Instagram services from the European Union, pending a new transatlantic data transfer agreement, Bloomberg reports.","['facebook', 'parent', 'meta', 'platform', 'inc', 'meta', 'threatened', 'pull', 'popular', 'facebook', 'instagram', 'service', 'european', 'union', 'pending', 'new', 'transatlantic', 'data', 'transfer', 'agreement', 'bloomberg', 'report']","{'neg': 0.107, 'neu': 0.679, 'pos': 0.214, 'compound': 0.4588}",0.4588
"An MSNBC video featuring Microsoft Corporation MSFT co-founder Bill Gates expressing his opinion about former President Donald Trump was used by Inc. Magazine to explain the psychology behind persons similar to Trump. While addressing the staff of the ""Gates Foundation,"" Gates recounted his ...","['msnbc', 'video', 'featuring', 'microsoft', 'corporation', 'msft', 'bill', 'gate', 'expressing', 'opinion', 'former', 'president', 'donald', 'trump', 'used', 'magazine', 'explain', 'psychology', 'behind', 'person', 'similar', 'trump', 'addressing', 'staff', 'gate', 'foundation', 'gate', 'recounted']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
"Amazon stock is rallying on earnings, but could be nearing a key resistance zone. Here's how to trade it now.","['amazon', 'stock', 'rallying', 'earnings', 'could', 'nearing', 'key', 'resistance', 'zone', 'trade']","{'neg': 0.0, 'neu': 0.841, 'pos': 0.159, 'compound': 0.1779}",0.1779
