Summary,Processed Summaries,Sentiment Scores,Compound Score
"Someone with a lot of money to spend has taken a bullish stance on Microsoft MSFT. We noticed this today when the big position showed up on publicly available options history that we track here at Benzinga. Whether this is an institution or just a wealthy individual, we don't know.","['someone', 'lot', 'money', 'spend', 'taken', 'bullish', 'stance', 'microsoft', 'msft', 'noticed', 'today', 'big', 'position', 'showed', 'publicly', 'available', 'option', 'history', 'track', 'benzinga', 'whether', 'institution', 'wealthy', 'individual', 'know']","{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.3612}",0.3612
"If the company hits projected sales by 2030, investors stand to profit a lot along the way.","['company', 'hit', 'projected', 'sale', 'investor', 'stand', 'profit', 'lot', 'along', 'way']","{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}",0.4404
"Microsoft (MSFT) and Moody's team up to create advanced solutions for risk assessment, data analysis, analytics, research and collaboration, leveraging the capabilities of Generative AI.","['microsoft', 'msft', 'moody', 'team', 'create', 'advanced', 'solution', 'risk', 'assessment', 'data', 'analysis', 'analytics', 'research', 'collaboration', 'leveraging', 'capability', 'generative']","{'neg': 0.2, 'neu': 0.522, 'pos': 0.278, 'compound': 0.2023}",0.2023
Microsoft Is Developing AI Chips to Close Gap With AWS - Business Insider ...,"['microsoft', 'developing', 'chip', 'close', 'gap', 'aws', 'business', 'insider']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
Many internal Microsoft documents have come up in conversations with executives or have been released as part of a hearing over its Activision Blizzard deal.,"['many', 'internal', 'microsoft', 'document', 'come', 'conversation', 'executive', 'released', 'part', 'hearing', 'activision', 'blizzard', 'deal']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
"Microsoft Lost Touch With Gen Z. It Plans to Lure Them AI, Doc Shows - Business Insider ...","['microsoft', 'lost', 'touch', 'gen', 'plan', 'lure', 'doc', 'show', 'business', 'insider']","{'neg': 0.204, 'neu': 0.796, 'pos': 0.0, 'compound': -0.3182}",-0.3182
"Inflection AI has raised $1.3 billion from Microsoft Corp MSFT and Nvidia Corp NVDA, among others. The new funding brings the total raised by the company to $1.525 billion. One of DeepMind's founders, Mustafa Suleyman, had set up the one-year-old artificial intelligence startup.","['inflection', 'raised', 'billion', 'microsoft', 'corp', 'msft', 'nvidia', 'corp', 'nvda', 'among', 'others', 'new', 'funding', 'brings', 'total', 'raised', 'company', 'billion', 'one', 'deepmind', 'founder', 'mustafa', 'suleyman', 'set', 'artificial', 'intelligence', 'startup']","{'neg': 0.0, 'neu': 0.893, 'pos': 0.107, 'compound': 0.4767}",0.4767
"The deal could clear the remaining hurdles, but it won't be simple. Above, Microsoft CEO Satya Nadella arrives at federal court on June 28 in San Francisco.","['deal', 'could', 'clear', 'remaining', 'hurdle', 'simple', 'microsoft', 'ceo', 'satya', 'nadella', 'arrives', 'federal', 'court', 'june', 'san', 'francisco']","{'neg': 0.0, 'neu': 0.852, 'pos': 0.148, 'compound': 0.3818}",0.3818
"Microsoft Corp MSFT CEO Satya Nadella has placed the blame for the existence of console exclusives on Sony Group Corp. SONY, saying that he would prefer to eliminate them altogether.","['microsoft', 'corp', 'msft', 'ceo', 'satya', 'nadella', 'placed', 'blame', 'existence', 'console', 'exclusive', 'sony', 'group', 'sony', 'saying', 'would', 'prefer', 'eliminate', 'altogether']","{'neg': 0.115, 'neu': 0.813, 'pos': 0.072, 'compound': -0.2263}",-0.2263
"Taiwan Semiconductor Manufacturing Company Ltd TSM confirmed a data breach after being listed as a victim of the LockBit ransomware gang. The Russia-linked LockBit ransomware gang listed TSMC on its dark web leak site on Thursday, TechCrunch reports.","['taiwan', 'semiconductor', 'manufacturing', 'company', 'ltd', 'tsm', 'confirmed', 'data', 'breach', 'listed', 'victim', 'lockbit', 'ransomware', 'gang', 'lockbit', 'ransomware', 'gang', 'listed', 'tsmc', 'dark', 'web', 'leak', 'site', 'thursday', 'techcrunch', 'report']","{'neg': 0.158, 'neu': 0.842, 'pos': 0.0, 'compound': -0.5423}",-0.5423
"Best Dow Jones Stocks Of 2023 Include Apple, Microsoft | Investor's ... Investor's Business Daily ...","['best', 'dow', 'jones', 'stock', 'include', 'apple', 'microsoft', 'investor', 'investor', 'business', 'daily']","{'neg': 0.0, 'neu': 0.704, 'pos': 0.296, 'compound': 0.6369}",0.6369
"Despite ongoing economic uncertainty, the software industry is well-positioned to grow and expand significantly in the years ahead. Therefore, quality software stocks Microsoft Corporation ( MSFT ) , ServiceNow, Inc. ( NOW ) , and Verint Systems Inc. ( VRNT ) could be wise additions to your ...","['despite', 'ongoing', 'economic', 'uncertainty', 'software', 'industry', 'grow', 'expand', 'significantly', 'year', 'ahead', 'therefore', 'quality', 'software', 'stock', 'microsoft', 'corporation', 'msft', 'servicenow', 'verint', 'system', 'vrnt', 'could', 'wise', 'addition']","{'neg': 0.0, 'neu': 0.747, 'pos': 0.253, 'compound': 0.7533}",0.7533
